,Date,Ethereum_Price,Crypto Fear & Greed Index,Price_Change,Price_Movement
102,2019-03-19,138.83,56,0.00489807678455656,down
103,2019-03-20,139.51,55,-0.02989033044226208,flat
104,2019-03-21,135.34,62,0.008349342396926307,flat
105,2019-03-22,136.47,56,0.005715541877335584,flat
106,2019-03-23,137.25,50,-0.007650273224043769,down
107,2019-03-24,136.2,44,-0.019456681350954352,flat
108,2019-03-25,133.55,46,0.003369524522650602,up
109,2019-03-26,134.0,43,0.042611940298507456,down
110,2019-03-27,139.71,44,-0.011022833011237743,up
111,2019-03-28,138.17,49,0.038503293044799936,flat
112,2019-03-29,143.49,50,-0.006411596626942795,flat
113,2019-03-30,142.57,57,-0.005330714736620501,flat
114,2019-03-31,141.81,56,-0.002044989775051076,up
115,2019-04-01,141.52,62,0.16605426794799327,down
116,2019-04-02,165.02,60,-0.02320930796267129,down
117,2019-04-03,161.19,71,-0.021217197096593976,up
118,2019-04-04,157.77,61,0.05412942891550987,flat
119,2019-04-05,166.31,59,-0.001984246287054403,up
120,2019-04-06,165.98,65,0.055729605976623686,up
121,2019-04-07,175.23,69,0.03144438737659083,down
122,2019-04-08,180.74,65,-0.02473165873630634,flat
123,2019-04-09,176.27,64,0.006580813524706297,down
124,2019-04-10,177.43,62,-0.06926675308572405,flat
125,2019-04-11,165.14,65,-0.004844374470146406,flat
126,2019-04-12,164.34,42,-0.0013995375441158142,up
127,2019-04-13,164.11,62,0.024861373469014625,down
128,2019-04-14,168.19,51,-0.046970687912479936,up
129,2019-04-15,160.29,60,0.03967808347370405,flat
130,2019-04-16,166.65,50,0.0010801080108011618,up
131,2019-04-17,166.83,61,0.044116765569741645,flat
132,2019-04-18,174.19,64,-0.00160744015155867,flat
133,2019-04-19,173.91,61,0.0002300040250704516,down
134,2019-04-20,173.95,62,-0.022132796780684028,flat
135,2019-04-21,170.1,62,0.009817754262198886,flat
136,2019-04-22,171.77,61,-0.006811433894160834,down
137,2019-04-23,170.6,68,-0.02672919109026961,down
138,2019-04-24,166.04,65,-0.07871597205492653,up
